ID,Name,Category,Lowest Price,Highest Price,Price Savings,Currency,Available At,Source Count,Images,Description
unified_20024cfada0a,Unknown Product,Round Bangles,120.0,120.0,0,INR,scrunchybows,1,0,
unified_f14fc80ed4ae,Unknown Product,Flat Bangles,120.0,120.0,0,INR,scrunchybows,1,0,
unified_e9bb76b1131c,Unknown Product,Flat Bangles,120.0,120.0,0,INR,scrunchybows,1,0,
unified_26826487f990,Unknown Product,Flat Bangles,120.0,120.0,0,INR,scrunchybows,1,0,Order processing time 1 or 2 working days from date of order.Delivery Time from date of dispatch:And
unified_8dd579b5b07b,Unknown Product,Flat Bangles,120.0,120.0,0,INR,scrunchybows,1,0,
unified_dd434e341701,Unknown Product,Flat Bangles,15.0,15.0,0,INR,theunikart,1,0,
unified_fe018de04634,Unknown Product,Flat Bangles,225.0,225.0,0,INR,theunikart,1,0,
unified_4ffb530b81c0,Unknown Product,Flat Bangles,99.0,99.0,0,INR,theunikart,1,0,
unified_2905b3d9012c,Unknown Product,Flat Bangles,99.0,99.0,0,INR,theunikart,1,0,
unified_19745358d3b5,Unknown Product,Flat Bangles,99.0,99.0,0,INR,theunikart,1,0,
unified_af389f1f8388,Unknown Product,Flat Bangles,99.0,99.0,0,INR,theunikart,1,0,
unified_5a750ad2f003,Unknown Product,Flat Bangles,99.0,99.0,0,INR,theunikart,1,0,
unified_b5a542b70aae,Unknown Product,Flat Bangles,199.0,199.0,0,INR,theunikart,1,0,
unified_7cf7f2a99688,Unknown Product,Kids Bangles,120.0,120.0,0,INR,scrunchybows,1,0,
unified_e8b8edf51def,Unknown Product,Kids Bangles,120.0,120.0,0,INR,scrunchybows,1,0,
unified_0db8f94f81fb,Unknown Product,Kids Bangles,120.0,120.0,0,INR,scrunchybows,1,0,
unified_7f2d8f5aafb2,Unknown Product,Kids Bangles,120.0,120.0,0,INR,scrunchybows,1,0,
unified_316f873ab671,Unknown Product,Kids Bangles,120.0,120.0,0,INR,scrunchybows,1,0,
unified_42c4a1b63253,Unknown Product,Kids Bangles,120.0,120.0,0,INR,scrunchybows,1,0,
unified_bbc511795b8f,Unknown Product,Kids Bangles,120.0,120.0,0,INR,scrunchybows,1,0,
unified_c22c1d3d3ef6,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_b4088dfd0020,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_a93329fcd1bb,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_d8ebe9a199cf,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_0c1842bad475,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_7eb46affa49f,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_d5adfe10b786,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_c0eca295dca6,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_67286feba709,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_4857c13470ef,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_f62bb1822c50,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_30913fcebd3f,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_435bb80188ce,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_464d69aeeefb,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_a03c56861b3a,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_cfa712aac351,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_358432432b62,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_902cfd05ca37,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_784321ee88c6,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_58aa4e8b299d,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_de8fad2b8676,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_750b9da81066,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_9b45459b618f,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_e18f50de621f,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_947690c2e371,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_c69c63ed4f22,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_2fbf30d94714,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_45e1a166d2c4,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_45bb8a9ac541,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_f44ae30984e9,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_296e131bde64,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_04f455c73eae,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_f5a61ca92c8b,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_1fdd26572376,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_adfd3a7d3671,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_6b9315a483c5,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_18e841cfc884,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_bcc7e3ef7e5f,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_861038492c6c,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_da0ad22a291c,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_d02d1f2ef41e,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_2598c39644de,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_78d1427b6d76,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_5a4e3f9475e3,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_e0715408d1ac,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_555344cf31e1,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_9be09d7465d3,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_c83cf2892ec1,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_666ddf080fa9,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_8fcf78946b73,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_cf5014a95144,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_4f0730d86f22,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_107dba1653b2,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_b4dd6ccabad0,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_2371f401b300,Unknown Product,Silk Thread,18.0,18.0,0,INR,scrunchybows,1,0,
unified_d8fe94af4758,Unknown Product,Silk Thread,169.0,169.0,0,INR,theunikart,1,0,
